name,tree size,drifts count,average after accuracy decrease,average after retrain accuracy,average after retrain accuracy increase,average before after retrain accuracy,average before after retrain accuracy increase,STAT_SFLDT average wasted effort,STAT_SFLDT average fix accuracy,STAT_SFLDT average fix accuracy increase,STAT_BARINEL_Paths_After average wasted effort,STAT_BARINEL_Paths_After average fix accuracy,STAT_BARINEL_Paths_After average fix accuracy increase
acute-inflammation,7,8,74.47916666666666,70.83333333333336,-3.6458333333333286,87.5,13.020833333333334,2.5,89.0625,14.583333333333336,0.625,77.08333333333333,2.604166666666667
acute-nephritis,5,4,64.58333333333334,91.66666666666666,27.08333333333333,82.29166666666666,17.70833333333333,1.0,91.66666666666666,27.08333333333333,1.0,81.25,16.666666666666664
analcatdata_boxing1,15,5,59.166666666666664,70.83333333333334,11.666666666666671,74.16666666666667,15.0,4.0,63.33333333333333,4.166666666666667,0.4,58.33333333333333,-0.8333333333333346
analcatdata_lawsuit,3,3,60.256410256410255,94.23076923076923,33.97435897435897,85.8974358974359,25.641025641025646,0.0,92.3076923076923,32.05128205128206,0.0,60.256410256410255,0.0
annealing,27,12,46.229050279329606,82.9608938547486,36.731843575419,89.75791433891992,43.52886405959032,7.416666666666667,87.98882681564247,41.75977653631284,1.1666666666666667,56.331471135940404,10.102420856610799
audiology-std,43,10,49.48717948717949,48.71794871794872,-0.7692307692307692,61.53846153846153,12.051282051282055,12.2,52.05128205128206,2.564102564102564,1.0,49.48717948717949,0.0
bank,7,1,53.20796460176991,88.93805309734513,35.73008849557523,91.48230088495575,38.27433628318584,0.0,92.14601769911505,38.93805309734514,0.0,53.09734513274337,-0.11061946902654052
bodyfat,3,6,67.0,82.0,14.999999999999995,73.66666666666667,6.666666666666668,0.0,72.66666666666667,5.666666666666667,0.0,67.0,0.0
braziltourism,3,8,44.51219512195122,72.25609756097562,27.74390243902439,60.823170731707314,16.3109756097561,0.0,48.018292682926834,3.5060975609756087,0.0,44.51219512195122,0.0
breast-cancer-wisc-diag,19,5,66.54867256637168,82.65486725663717,16.10619469026549,96.46017699115045,29.91150442477877,7.0,61.76991150442477,-4.778761061946902,1.4,64.07079646017698,-2.4778761061946897
breast-cancer-wisc,5,4,33.093525179856115,88.48920863309353,55.395683453237424,92.44604316546763,59.35251798561152,0.5,92.80575539568345,59.71223021582735,0.5,33.093525179856115,0.0
caradiotocography10clases,39,15,55.6078431372549,69.64705882352942,14.039215686274511,70.22745098039215,14.619607843137258,12.466666666666667,71.35686274509804,15.749019607843138,1.4666666666666666,57.12941176470588,1.5215686274509825
cardiotocography3clases,41,6,71.96078431372548,85.01960784313725,13.058823529411763,90.3921568627451,18.43137254901961,18.333333333333332,72.66666666666667,0.7058823529411774,1.6666666666666667,74.15686274509802,2.1960784313725483
chatfield_4,5,4,74.46808510638297,78.72340425531915,4.255319148936171,89.36170212765957,14.893617021276597,0.25,80.85106382978724,6.382978723404259,1.0,74.46808510638297,0.0
chscase_vine1,9,5,40.0,40.0,3.197442310920451e-15,58.0,18.0,2.0,64.0,24.0,0.0,64.0,24.0
credit-approval,5,6,68.59903381642512,84.05797101449275,15.458937198067632,71.01449275362317,2.4154589371980677,1.3333333333333333,84.05797101449275,15.458937198067632,0.6666666666666666,67.7536231884058,-0.8454106280193235
dermatology,17,13,59.85247629083245,85.98524762908325,26.132771338250787,90.62170706006324,30.769230769230774,3.076923076923077,77.13382507903057,17.281348788198105,1.0,59.430979978925194,-0.42149631190727077
diggle_table_a2,3,6,64.78494623655915,94.35483870967742,29.569892473118284,84.13978494623656,19.35483870967742,0.0,77.41935483870968,12.634408602150538,0.0,64.78494623655915,0.0
echocardiogram,3,2,50.0,69.23076923076923,19.23076923076923,88.46153846153845,38.46153846153846,0.0,88.46153846153845,38.46153846153846,0.0,50.0,0.0
ecoli,11,8,54.291044776119406,67.16417910447761,12.873134328358214,77.23880597014926,22.947761194029848,2.375,68.65671641791045,14.365671641791044,1.25,62.5,8.208955223880597
elusage,7,4,59.090909090909086,45.45454545454545,-13.636363636363637,68.18181818181817,9.090909090909092,0.0,61.36363636363636,2.272727272727272,0.0,56.81818181818181,-2.2727272727272734
energy-y1,59,13,73.50427350427351,89.54248366013074,16.038210155857215,90.79939668174964,17.295123177476118,38.92307692307692,77.62694821518352,4.1226747109100055,1.0,73.403720462544,-0.10055304172951196
energy-y2,57,11,65.24064171122994,86.9281045751634,21.687462863933458,91.44385026737967,26.203208556149733,32.18181818181818,73.6779560308972,8.437314319667262,0.9090909090909091,67.49851455733808,2.2578728461081403
heart-hungarian,19,4,65.94827586206897,56.896551724137936,-9.051724137931032,56.896551724137936,-9.051724137931036,4.5,75.86206896551724,9.913793103448278,1.0,71.98275862068965,6.034482758620688
horse-colic,19,8,60.44520547945205,63.013698630137,2.568493150684929,82.53424657534246,22.089041095890412,1.875,68.15068493150685,7.705479452054794,1.0,60.44520547945205,0.0
ionosphere,5,4,57.14285714285714,85.35714285714286,28.21428571428571,87.14285714285715,30.0,0.0,86.42857142857143,29.28571428571428,0.25,56.07142857142857,-1.0714285714285703
iris,13,9,60.370370370370374,78.51851851851853,18.148148148148152,94.81481481481482,34.44444444444444,5.777777777777778,72.5925925925926,12.222222222222225,0.8888888888888888,74.81481481481482,14.444444444444445
low-res-spect,59,10,59.52830188679245,76.32075471698113,16.792452830188683,85.28301886792454,25.754716981132077,15.1,79.1509433962264,19.622641509433965,1.0,59.52830188679245,0.0
lowbwt,7,3,63.96396396396397,81.08108108108108,17.117117117117118,61.26126126126126,-2.7027027027027004,3.3333333333333335,75.67567567567568,11.71171171171171,1.6666666666666667,63.06306306306306,-0.9009009009009028
mammographic,17,5,66.04166666666667,82.8125,16.770833333333332,81.25,15.208333333333332,5.4,78.64583333333334,12.60416666666667,1.0,78.95833333333334,12.916666666666668
mfeat-morphological,17,6,88.41666666666667,99.25,10.833333333333341,99.79166666666667,11.375000000000002,5.5,89.04166666666667,0.6249999999999997,0.8333333333333334,89.04166666666667,0.6249999999999997
molec-biol-splice,57,21,74.57829526795042,85.89341692789965,11.315121659949252,88.52067472757128,13.942379459620843,26.0,81.55694879832811,6.978653530377668,1.1904761904761905,77.76533811016569,3.187042842215255
monks-1,51,17,72.1250662427133,67.56756756756758,-4.5574986751457365,74.56279809220985,2.4377318494965543,29.294117647058822,73.07896131425545,0.9538950715421298,0.5882352941176471,72.91997880233174,0.7949125596184411
monks-3,27,10,73.8181818181818,88.36363636363636,14.545454545454547,82.72727272727273,8.90909090909091,14.8,74.18181818181817,0.3636363636363659,0.6,73.99999999999999,0.18181818181818188
oocytes_merluccius_states_2f,21,5,68.52941176470588,81.37254901960785,12.843137254901965,86.47058823529412,17.94117647058824,7.4,76.37254901960785,7.843137254901961,1.2,73.92156862745098,5.392156862745098
oocytes_trisopterus_states_5b,17,11,60.5894105894106,76.92307692307692,16.333666333666336,88.31168831168833,27.722277722277724,5.545454545454546,79.92007992007993,19.33066933066933,1.4545454545454546,70.62937062937063,10.039960039960038
parkinsons,3,4,69.23076923076923,86.53846153846155,17.307692307692307,87.17948717948718,17.94871794871795,0.0,80.12820512820514,10.897435897435898,0.0,69.23076923076923,0.0
pittsburg-bridges-MATERIAL,5,3,49.206349206349195,76.19047619047619,26.984126984126984,65.07936507936508,15.873015873015873,1.3333333333333333,87.3015873015873,38.095238095238095,1.0,71.42857142857143,22.222222222222225
prnn_synth,13,4,60.5,80.0,19.5,74.0,13.499999999999998,3.5,71.0,10.5,1.0,60.0,-0.5000000000000004
rabe_131,3,6,66.66666666666667,60.0,-6.666666666666669,66.66666666666667,0.0,0.0,65.0,-1.6666666666666698,0.0,60.0,-6.666666666666667
schlvote,3,3,38.095238095238095,85.71428571428571,47.61904761904761,23.809523809523807,-14.285714285714285,0.0,57.14285714285714,19.047619047619047,0.0,85.71428571428571,47.61904761904761
seeds,15,8,57.44047619047619,80.95238095238095,23.511904761904763,85.1190476190476,27.678571428571427,7.75,61.90476190476189,4.464285714285715,0.875,63.09523809523809,5.654761904761904
soybean,59,21,58.29831932773109,52.205882352941195,-6.092436974789912,85.1890756302521,26.890756302521016,15.619047619047619,64.91596638655462,6.617647058823531,1.3333333333333333,59.068627450980394,0.7703081232493011
spect,3,2,36.79245283018868,69.81132075471697,33.018867924528294,73.58490566037736,36.79245283018868,0.0,77.35849056603774,40.566037735849065,0.0,50.0,13.207547169811324
squash-unstored,5,6,53.333333333333336,60.0,6.666666666666667,63.333333333333336,10.000000000000002,1.3333333333333333,61.666666666666664,8.333333333333336,0.6666666666666666,48.333333333333336,-5.0
statlog-image,57,22,69.37229437229438,88.75442739079104,19.382133018496653,91.44037780401419,22.068083431719792,39.40909090909091,78.17788272333729,8.805588351042898,1.5909090909090908,71.47776465958286,2.1054702872884694
