after size,drift size,drifted features types,count,after accuracy decrease,after retrain accuracy increase,before after retrain accuracy increase,STAT_SFLDT fix accuracy increase,STAT_SFLDT wasted effort,BARINEL fix accuracy increase,BARINEL wasted effort,BARINEL_Paths_After fix accuracy increase,BARINEL_Paths_After wasted effort,STAT_BARINEL_Paths_After fix accuracy increase,STAT_BARINEL_Paths_After wasted effort,BARINEL_Paths_Difference fix accuracy increase,BARINEL_Paths_Difference wasted effort,STAT_BARINEL_Paths_Difference fix accuracy increase,STAT_BARINEL_Paths_Difference wasted effort,BARINEL_Features fix accuracy increase,BARINEL_Features wasted effort,BARINEL_Features_Paths_After fix accuracy increase,BARINEL_Features_Paths_After wasted effort,BARINEL_Features_Paths_Difference fix accuracy increase,BARINEL_Features_Paths_Difference wasted effort,SFLDT_Features fix accuracy increase,SFLDT_Features wasted effort
0.5000000000000001,1,numeric,4,185.07462686567163,74.62686567164181,25.37313432835822,76.11940298507463,5.0,43.28358208955224,2.0,64.17910447761194,3.0,55.223880597014926,3.0,94.02985074626866,1.0,41.7910447761194,3.0,94.02985074626866,1.0,94.02985074626866,1.0,94.02985074626866,1.0,94.02985074626866,1.0
5.0,1,numeric,13,778.0821917808219,112.32876712328766,346.57534246575347,309.5890410958904,43.0,164.3835616438356,5.0,168.4931506849315,6.0,123.2876712328767,10.0,146.5753424657534,9.0,146.5753424657534,9.0,260.2739726027397,4.0,172.60273972602738,6.0,146.5753424657534,9.0,260.2739726027397,4.0
2.0000000000000004,1,numeric,6,284.93150684931504,-2.739726027397259,223.28767123287673,69.86301369863014,44.0,0.0,6.0,104.10958904109589,3.0,104.10958904109589,3.0,127.3972602739726,2.0,57.534246575342465,3.0,104.10958904109589,3.0,104.10958904109589,3.0,127.3972602739726,2.0,0.0,6.0
9.000000000000002,1,binary,3,212.5,24.99999999999999,45.83333333333334,-12.5,69.0,0.0,3.0,0.0,3.0,-12.5,3.0,-12.5,3.0,-12.5,3.0,-12.5,36.0,-12.5,36.0,-12.5,36.0,-12.5,36.0
9.000000000000002,1,numeric,6,362.5,99.99999999999997,66.66666666666666,16.666666666666664,36.0,41.666666666666664,0.0,16.666666666666664,0.0,-16.666666666666664,0.0,-16.666666666666664,0.0,-16.666666666666664,0.0,12.499999999999993,2.0,12.499999999999993,2.0,16.666666666666668,0.0,41.66666666666667,1.0
0.5000000000000001,1,numeric,5,320.9677419354839,-87.0967741935484,66.12903225806453,77.41935483870967,0.0,114.51612903225805,0.0,133.8709677419355,0.0,96.7741935483871,0.0,133.8709677419355,0.0,96.7741935483871,0.0,133.8709677419355,0.0,133.8709677419355,0.0,133.8709677419355,0.0,133.8709677419355,0.0
9.000000000000002,1,numeric,2,98.07692307692308,90.38461538461539,71.15384615384615,86.53846153846155,0.0,86.53846153846155,0.0,86.53846153846155,0.0,86.53846153846155,0.0,88.46153846153845,0.0,88.46153846153845,0.0,88.46153846153845,0.0,88.46153846153845,0.0,88.46153846153845,0.0,88.46153846153845,0.0
6.999999999999999,1,numeric,12,745.2054794520548,10.958904109589039,336.986301369863,289.041095890411,35.0,153.4246575342466,6.0,217.80821917808223,4.0,126.02739726027399,9.0,154.79452054794524,8.0,154.79452054794524,8.0,287.6712328767124,2.0,220.5479452054795,3.0,154.79452054794524,8.0,287.6712328767124,2.0
3.0,1,numeric,3,163.63636363636363,-27.272727272727273,36.36363636363637,9.090909090909088,0.0,90.90909090909092,0.0,90.90909090909092,0.0,36.36363636363637,0.0,90.90909090909092,0.0,36.36363636363637,0.0,90.90909090909092,0.0,90.90909090909092,0.0,90.90909090909092,0.0,90.90909090909092,0.0
2.0000000000000004,1,numeric,14,979.2792792792793,-310.81081081081084,-0.9009009009009494,-58.558558558558566,417.0,63.963963963963955,4.0,74.77477477477476,10.0,42.34234234234233,18.0,74.77477477477476,10.0,74.77477477477476,10.0,190.09009009009003,50.0,88.28828828828826,60.0,88.28828828828826,60.0,92.79279279279277,50.0
1.0000000000000002,1,numeric,4,185.07462686567163,74.62686567164181,25.37313432835822,76.11940298507463,5.0,43.28358208955224,2.0,64.17910447761194,3.0,55.223880597014926,3.0,94.02985074626866,1.0,41.7910447761194,3.0,94.02985074626866,1.0,94.02985074626866,1.0,94.02985074626866,1.0,94.02985074626866,1.0
2.0000000000000004,1,numeric,4,185.07462686567163,41.791044776119406,62.68656716417912,126.86567164179105,4.0,44.776119402985074,2.0,62.68656716417911,3.0,58.2089552238806,3.0,94.02985074626866,1.0,11.940298507462682,3.0,94.02985074626866,1.0,94.02985074626866,1.0,94.02985074626866,1.0,94.02985074626866,1.0
8.000000000000002,1,binary,3,185.71428571428572,59.999999999999986,84.76190476190474,-40.00000000000001,6.0,-46.66666666666668,6.0,31.428571428571416,0.0,-46.66666666666668,6.0,31.428571428571416,0.0,31.428571428571416,0.0,31.428571428571416,0.0,31.428571428571416,0.0,31.428571428571416,0.0,0.952380952380949,3.0
10.0,1,numeric,2,98.07692307692308,90.38461538461539,67.3076923076923,86.53846153846155,0.0,86.53846153846155,0.0,86.53846153846155,0.0,86.53846153846155,0.0,86.53846153846155,0.0,86.53846153846155,0.0,86.53846153846155,0.0,86.53846153846155,0.0,86.53846153846155,0.0,86.53846153846155,0.0
5.0,1,binary,4,260.95238095238096,74.28571428571429,54.28571428571428,-48.571428571428584,4.0,39.047619047619044,8.0,15.238095238095228,0.0,-55.238095238095255,8.0,15.238095238095228,0.0,15.238095238095228,0.0,15.238095238095228,0.0,15.238095238095228,0.0,15.238095238095228,0.0,45.71428571428571,4.0
