drift description,drifted features types,tree size,after accuracy decrease,after retrain accuracy,after retrain accuracy increase,before after retrain accuracy,before after retrain accuracy increase,BARINEL_Features faulty nodes indicies,BARINEL_Features faulty features,BARINEL_Features wasted effort,BARINEL_Features fix accuracy,BARINEL_Features fix accuracy increase
iris__NumericFeature[f3;+0.5std],numeric,13,70.0,80.0,10.000000000000009,93.33333333333333,23.33333333333334,"1, 5, 10, 7, 8, 11, 12","target, target, target, target, target, target, target",5,66.66666666666666,-3.3333333333333326
iris__NumericFeature[f3;+1std],numeric,13,30.0,80.0,50.0,90.0,60.00000000000001,"0, 2, 4","f3, f3, f3",0,86.66666666666667,56.666666666666664
iris__NumericFeature[f3;+2std],numeric,13,30.0,80.0,50.0,90.0,60.00000000000001,"0, 2, 4","f3, f3, f3",0,83.33333333333334,53.33333333333334
low-res-spect__NumericFeature[f29;-2std],numeric,59,42.45283018867924,64.15094339622641,21.698113207547166,87.73584905660378,45.28301886792453,"5, 10, 55, 39, 51","f32, f98, f8, f8, f54",5,60.37735849056604,17.924528301886788
low-res-spect__NumericFeature[f29;-1std],numeric,59,66.98113207547169,72.64150943396226,5.660377358490565,87.73584905660378,20.75471698113208,"5, 10, 55, 39, 51","f32, f98, f8, f8, f54",5,80.18867924528303,13.20754716981133
low-res-spect__NumericFeature[f25;+0.5std],numeric,59,66.98113207547169,78.30188679245283,11.32075471698114,79.24528301886792,12.264150943396235,"11, 36, 13, 33, 34, 37, 18, 16, 41, 42, 43, 44, 23, 56, 21, 22, 27, 25, 57, 58, 40, 49, 50, 47, 48, 52, 45, 46, 53, 54","target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target",30,69.81132075471697,2.8301886792452824
low-res-spect__NumericFeature[f25;+1std],numeric,59,64.15094339622641,78.30188679245283,14.150943396226424,87.73584905660378,23.584905660377366,"11, 36, 13, 33, 34, 37, 18, 16, 41, 42, 43, 44, 23, 56, 21, 22, 27, 25, 57, 58, 40, 49, 50, 47, 48, 52, 45, 46, 53, 54","target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target",30,61.32075471698113,-2.8301886792452824
low-res-spect__NumericFeature[f25;+2std],numeric,59,62.264150943396224,78.30188679245283,16.03773584905661,87.73584905660378,25.47169811320755,"11, 36, 13, 33, 34, 37, 18, 16, 41, 42, 43, 44, 23, 56, 21, 22, 27, 25, 57, 58, 40, 49, 50, 47, 48, 52, 45, 46, 53, 54","target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target",30,61.32075471698113,-0.9433962264150941
low-res-spect__NumericFeature[f79;+1std],numeric,59,78.30188679245283,78.30188679245283,0.0,83.9622641509434,5.660377358490565,"11, 36, 13, 33, 34, 37, 18, 16, 41, 42, 43, 44, 23, 56, 21, 22, 27, 25, 57, 58, 40, 49, 50, 47, 48, 52, 45, 46, 53, 54","target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target",29,71.69811320754717,-6.60377358490567
low-res-spect__NumericFeature[f79;+2std],numeric,59,44.339622641509436,78.30188679245283,33.9622641509434,75.47169811320755,31.132075471698116,"12, 5, 7, 10, 51","f79, f32, f23, f98, f54",4,84.90566037735849,40.56603773584906
low-res-spect__NumericFeature[f50;-2std],numeric,59,55.660377358490564,78.30188679245283,22.64150943396227,87.73584905660378,32.07547169811321,"5, 7, 35, 10, 51","f32, f23, f50, f98, f54",4,84.90566037735849,29.24528301886793
low-res-spect__NumericFeature[f75;-2std],numeric,59,42.45283018867924,78.30188679245283,35.84905660377359,87.73584905660378,45.28301886792453,"11, 36, 13, 33, 34, 37, 18, 16, 41, 42, 43, 44, 23, 56, 21, 22, 27, 25, 57, 58, 40, 49, 50, 47, 48, 52, 45, 46, 53, 54","target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target",29,71.69811320754717,29.24528301886792
low-res-spect__NumericFeature[f75;-1std],numeric,59,71.69811320754717,78.30188679245283,6.60377358490567,87.73584905660378,16.03773584905661,"11, 36, 13, 33, 34, 37, 18, 16, 41, 42, 43, 44, 23, 56, 21, 22, 27, 25, 57, 58, 40, 49, 50, 47, 48, 52, 45, 46, 53, 54","target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target, target",29,71.69811320754717,0.0
lowbwt__NumericFeature[LOW;-2std],numeric,7,59.45945945945946,81.08108108108108,21.62162162162162,54.054054054054056,-5.405405405405405,"6, 5, 3, 4","target, target, target, target",3,62.16216216216216,2.7027027027026973
lowbwt__NumericFeature[LOW;-1std],numeric,7,83.78378378378379,81.08108108108108,-2.7027027027026973,81.08108108108108,-2.7027027027026973,"6, 5, 3, 4","target, target, target, target",3,81.08108108108108,-2.7027027027026973
lowbwt__NumericFeature[LOW;+2std],numeric,7,48.64864864864865,81.08108108108108,32.432432432432435,48.64864864864865,0.0,"6, 5, 3, 4","target, target, target, target",3,51.35135135135135,2.7027027027026973
mammographic__NumericFeature[f5;+1std],numeric,17,57.291666666666664,82.8125,25.520833333333336,82.29166666666666,25.0,"5, 9, 7, 8, 11, 12, 14, 15, 16","target, target, target, target, target, target, target, target, target",7,84.89583333333334,27.604166666666675
mammographic__NumericFeature[f5;+2std],numeric,17,56.770833333333336,82.8125,26.041666666666664,84.375,27.604166666666664,"5, 9, 7, 8, 11, 12, 14, 15, 16","target, target, target, target, target, target, target, target, target",7,84.89583333333334,28.125
mammographic__NumericFeature[f4;-2std],numeric,17,68.22916666666666,82.8125,14.583333333333337,82.29166666666666,14.0625,"5, 9, 7, 8, 11, 12, 14, 15, 16","target, target, target, target, target, target, target, target, target",8,82.29166666666666,14.0625
