after size,drift size,drifted features types,total drift type,count,after accuracy decrease,after retrain accuracy increase,before after retrain accuracy increase,SFLDT fix accuracy increase,SFLDT wasted effort,STAT_SFLDT fix accuracy increase,STAT_SFLDT wasted effort,SFLDT_Features fix accuracy increase,SFLDT_Features wasted effort,fuzzy count,fuzzy participation SFLDT fix accuracy increase,fuzzy participation SFLDT wasted effort,fuzzy participation STAT_SFLDT fix accuracy increase,fuzzy participation STAT_SFLDT wasted effort,fuzzy participation SFLDT_Features fix accuracy increase,fuzzy participation SFLDT_Features wasted effort
0.5000000000000001,1,numeric,numeric,326.0,20447.28270651293,-2925.133248961499,3266.460082100022,2049.0272744330096,4734.0,2113.959864412518,5516.0,2809.5699287858965,3569.0,326.0,1208.2414290380038,4909.0,1516.6088646374217,5646.0,2854.8914710450795,3587.0
0.5000000000000001,2,"binary, numeric",mixed,101.0,6707.251082251082,-928.6796536796538,-1348.4848484848487,385.9848484848485,639.0,-1537.5,599.0,488.0952380952381,362.0,113.0,-1433.3333333333333,783.0,-1575.0,759.0,708.1709956709956,434.0
0.5000000000000001,2,"numeric, numeric",numeric,14645.0,895470.4625028056,-258900.62839272685,156228.7702245363,43692.67972190449,378172.0,64417.82969544139,421634.0,68106.0459404523,255530.0,14645.0,33000.184770019,379808.0,38953.27729152747,423105.0,69157.82197102928,255941.0
0.5000000000000001,3,"binary, binary, numeric",mixed,792.0,52320.77922077922,-16418.398268398272,-14622.61904761905,2548.701298701298,4780.0,-16219.264069264069,4764.0,2217.5324675324673,2584.0,696.0,-18450.0,3996.0,-18300.0,3980.0,3222.5108225108224,2104.0
0.5000000000000001,3,"numeric, numeric, numeric",numeric,496783.0,29312404.70042047,-10062914.08764009,5610594.623901768,1013936.334379098,15310749.0,2460596.1020097067,16704538.0,1568816.9987269617,9696153.0,496783.0,1311442.5752894594,15327191.0,1764966.873207447,16719904.0,1681330.577008659,9699558.0
0.5000000000000001,4,"binary, binary, binary, numeric",mixed,5072.0,392681.38528138533,-246814.71861471864,-129553.7878787879,6192.207792207786,34048.0,-127599.99999999999,36096.0,22727.27272727272,17920.0,4432.0,-57488.74458874458,30752.0,-56222.077922077915,31216.0,5961.904761904759,15360.0
0.5000000000000001,4,"numeric, numeric, numeric, numeric",numeric,475236.0,26887392.8712046,5492497.292776503,5653848.626093366,1129266.9518509686,6802478.0,889460.3608738481,6949839.0,1328169.8939449422,3634152.0,475236.0,840769.2360598531,6784122.0,521009.8989504605,6951355.0,1164938.7009483865,3634152.0
1.0000000000000002,1,numeric,numeric,313.0,19233.371459011974,-1640.250905120049,4078.934747632482,3040.3773291735242,4101.0,3229.9505136273633,4740.0,4061.8019325741857,3256.0,313.0,1819.410159950957,4177.0,2445.391441339603,4855.0,4296.692349993836,3272.0
1.0000000000000002,2,"binary, numeric",mixed,221.0,11159.632034632035,6613.311688311688,2506.601731601732,877.5432900432902,2275.0,4251.677489177489,2075.0,6442.424242424242,1082.0,209.0,577.922077922078,2107.0,1556.168831168831,1919.0,5800.378787878788,1010.0
1.0000000000000002,2,"numeric, numeric",numeric,13878.0,834718.7847061711,-185798.0292132238,196779.5777424848,83333.8056991052,355905.0,99844.70850133718,395528.0,104883.42305039118,245303.0,13878.0,61688.46419341997,358010.0,71136.87309606465,396774.0,112013.38684113565,245813.0
1.0000000000000002,3,"binary, binary, numeric",mixed,3624.0,163848.48484848486,136270.99567099568,48112.5,15790.909090909092,36956.0,91515.58441558441,33884.0,144212.1212121212,16744.0,2376.0,8775.541125541125,22716.0,17729.65367965368,21212.0,72809.9567099567,10504.0
1.0000000000000002,3,"numeric, numeric, numeric",numeric,485901.0,28335474.065964554,-7747158.269827595,7530138.7045316985,1885337.848068509,15248578.0,3190099.9562808177,16515194.0,2248373.8032974973,9680266.0,485901.0,2158312.5809744187,15321283.0,2428873.8908632603,16526161.0,2470760.113516597,9686137.0
1.0000000000000002,4,"binary, binary, binary, numeric",mixed,29296.0,1297860.606060606,1094722.9437229438,480097.9437229438,175125.54112554112,257440.0,726525.1082251082,243008.0,1183510.8225108224,114816.0,24112.0,117931.16883116883,209600.0,196899.13419913416,197312.0,882180.0865800865,94080.0
1.0000000000000002,4,"numeric, numeric, numeric, numeric",numeric,561589.0,32445178.829754435,4032149.8918022616,9616512.037676303,4516428.6053596,9301154.0,6275127.422178423,9552374.0,4925262.508230118,4960290.0,561589.0,5667950.506360549,9255620.0,6289006.464437328,9551470.0,5012960.048815593,4960290.0
2.0000000000000004,1,numeric,numeric,336.0,20685.8166295108,643.3594017767397,5162.573186413872,3054.244417017264,4817.0,3185.1543779250483,5297.0,4290.00974525038,3574.0,336.0,2286.33421285783,4884.0,2423.3389047832407,5401.0,4395.9098615945495,3572.0
2.0000000000000004,2,"binary, numeric",mixed,237.0,9391.666666666666,10179.545454545456,6241.558441558442,5078.409090909091,2559.0,6267.694805194806,2295.0,9824.242424242426,1178.0,237.0,5057.575757575757,2559.0,5049.242424242424,2295.0,9470.075757575758,1178.0
