after size,drift size,drifted features types,count,after accuracy decrease,after retrain accuracy increase,before after retrain accuracy increase,fuzzy participation STAT_SFLDT fix accuracy increase,fuzzy participation STAT_SFLDT wasted effort,fuzzy participation BARINEL fix accuracy increase,fuzzy participation BARINEL wasted effort,fuzzy participation BARINEL_Paths_After fix accuracy increase,fuzzy participation BARINEL_Paths_After wasted effort,fuzzy participation STAT_BARINEL_Paths_After fix accuracy increase,fuzzy participation STAT_BARINEL_Paths_After wasted effort,fuzzy participation BARINEL_Paths_Difference fix accuracy increase,fuzzy participation BARINEL_Paths_Difference wasted effort,fuzzy participation STAT_BARINEL_Paths_Difference fix accuracy increase,fuzzy participation STAT_BARINEL_Paths_Difference wasted effort,fuzzy participation BARINEL_Features fix accuracy increase,fuzzy participation BARINEL_Features wasted effort,fuzzy participation BARINEL_Features_Paths_After fix accuracy increase,fuzzy participation BARINEL_Features_Paths_After wasted effort,fuzzy participation BARINEL_Features_Paths_Difference fix accuracy increase,fuzzy participation BARINEL_Features_Paths_Difference wasted effort,fuzzy participation SFLDT_Features fix accuracy increase,fuzzy participation SFLDT_Features wasted effort
4.000000000000001,1,numeric,5,231.34328358208955,117.91044776119404,129.85074626865674,35.82089552238806,15.0,34.32835820895523,5.0,11.940298507462693,4.0,37.3134328358209,8.0,82.08955223880596,2.0,82.08955223880596,2.0,107.46268656716418,2.0,107.46268656716418,2.0,82.08955223880596,2.0,111.9402985074627,2.0
5.0,1,numeric,3,120.0,7.105427357601002e-15,60.0,110.0,6.0,30.0,0.0,50.0,0.0,110.0,0.0,40.0,0.0,80.0,0.0,60.0,0.0,60.0,0.0,60.0,0.0,60.0,0.0
2.0000000000000004,1,numeric,3,120.0,7.105427357601002e-15,60.0,110.0,6.0,30.0,0.0,50.0,0.0,110.0,0.0,40.0,0.0,80.0,0.0,60.0,0.0,60.0,0.0,60.0,0.0,60.0,0.0
0.5000000000000001,1,numeric,3,206.89655172413794,-51.72413793103446,8.62068965517243,-10.344827586206884,22.0,-6.896551724137934,4.0,0.0,3.0,-10.344827586206884,4.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0
6.999999999999999,1,numeric,8,483.56164383561645,-16.43835616438355,124.65753424657534,56.16438356164384,16.0,52.054794520547944,18.0,12.328767123287665,8.0,82.19178082191782,7.0,46.57534246575343,5.0,90.41095890410959,2.0,68.49315068493152,5.0,32.87671232876712,9.0,46.57534246575343,5.0,84.93150684931507,2.0
6.999999999999999,1,numeric,2,108.10810810810811,54.054054054054056,2.7027027027026973,37.837837837837824,5.0,-2.7027027027027084,1.0,-2.7027027027027084,1.0,18.918918918918912,2.0,59.45945945945945,0.0,59.45945945945945,0.0,29.729729729729726,2.0,29.729729729729726,2.0,59.45945945945945,0.0,29.729729729729726,2.0
3.0,1,numeric,8,383.5616438356164,76.71232876712328,300.0,60.27397260273973,36.0,120.54794520547946,4.0,-10.95890410958904,8.0,-2.73972602739726,8.0,116.43835616438356,4.0,116.43835616438356,4.0,284.93150684931504,1.0,184.93150684931507,3.0,116.43835616438356,4.0,284.93150684931504,1.0
10.0,1,numeric,7,409.5890410958904,31.50684931506847,163.01369863013696,5.4794520547945105,16.0,42.465753424657535,21.0,15.068493150684926,7.0,47.945205479452056,6.0,49.31506849315069,4.0,61.643835616438366,4.0,61.643835616438366,7.0,35.61643835616438,8.0,49.31506849315069,4.0,17.808219178082197,7.0
1.0000000000000002,1,numeric,2,117.64705882352942,-19.60784313725491,50.326797385620914,4.575163398692805,58.0,2.614379084967322,3.0,-21.568627450980397,2.0,-16.993464052287592,2.0,-21.568627450980397,1.0,-21.568627450980397,1.0,6.5359477124183005,2.0,-8.496732026143794,8.0,-18.954248366013072,4.0,-1.9607843137254943,11.0
1.0000000000000002,1,numeric,8,249.16201117318437,278.2122905027933,275.4189944134078,433.5195530726256,97.0,416.7597765363128,2.0,416.7597765363128,2.0,186.59217877094972,5.0,224.0223463687151,5.0,224.0223463687151,5.0,448.0446927374302,4.0,448.0446927374302,4.0,224.0223463687151,5.0,448.0446927374302,4.0
0.5000000000000001,1,numeric,4,218.30065359477123,11.764705882352938,129.41176470588238,4.575163398692805,144.0,-3.9215686274509833,4.0,-3.9215686274509833,4.0,37.25490196078432,2.0,39.215686274509814,0.0,39.215686274509814,0.0,35.294117647058826,2.0,35.294117647058826,2.0,39.215686274509814,0.0,-7.843137254901967,12.0
1.0000000000000002,1,numeric,4,185.07462686567163,74.62686567164181,25.37313432835822,-14.925373134328353,15.0,0.0,4.0,13.432835820895528,4.0,55.223880597014926,3.0,94.02985074626866,1.0,41.7910447761194,3.0,94.02985074626866,1.0,94.02985074626866,1.0,94.02985074626866,1.0,94.02985074626866,1.0
0.5000000000000001,1,numeric,4,185.07462686567163,74.62686567164181,25.37313432835822,-14.925373134328353,15.0,0.0,4.0,13.432835820895528,4.0,55.223880597014926,3.0,94.02985074626866,1.0,41.7910447761194,3.0,94.02985074626866,1.0,94.02985074626866,1.0,94.02985074626866,1.0,94.02985074626866,1.0
2.0000000000000004,1,numeric,4,185.07462686567163,41.791044776119406,62.68656716417912,-14.925373134328353,15.0,0.0,4.0,13.432835820895528,4.0,58.2089552238806,3.0,94.02985074626866,1.0,0.0,4.0,94.02985074626866,1.0,94.02985074626866,1.0,94.02985074626866,1.0,94.02985074626866,1.0
