drift description,tree size,after accuracy decrease,after retrain accuracy,after retrain accuracy increase,before after retrain accuracy,before after retrain accuracy increase,STAT_BARINEL faulty nodes indicies,STAT_BARINEL faulty features,STAT_BARINEL wasted effort,STAT_BARINEL fix accuracy,STAT_BARINEL fix accuracy increase
molec-biol-splice__NumericFeature[f32;-1std],57,15.36050156739812,85.8934169278997,10.815047021943581,86.67711598746082,11.598746081504707,"4, 9, 18, 51, 52, 25, 27","[, N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ]",7,79.78056426332289,4.702194357366773
molec-biol-splice__NumericFeature[f32;-0.5std],57,15.36050156739812,85.8934169278997,10.815047021943581,92.78996865203762,17.711598746081503,"4, 9, 18, 51, 52, 25, 27","[, N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ]",7,79.78056426332289,4.702194357366773
molec-biol-splice__NumericFeature[f28;+0.5std],57,13.793103448275868,85.8934169278997,7.523510971786839,92.00626959247649,13.636363636363635,"4, 9, 22, 29, 20, 16, 33, 27, 28, 41, 49, 50","[, N, o, n, e, ,,  , N, o, n, e, ,,  , ', f, 3, 0, ', ,,  , ', f, 2, 8, ', ,,  , N, o, n, e, ,,  , ', f, 2, 9, ', ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ]",3,89.96865203761756,11.598746081504707
molec-biol-splice__NumericFeature[f28;+1std],57,13.793103448275868,85.8934169278997,7.523510971786839,92.00626959247649,13.636363636363635,"4, 9, 22, 29, 20, 16, 33, 27, 28, 41, 49, 50","[, N, o, n, e, ,,  , N, o, n, e, ,,  , ', f, 3, 0, ', ,,  , ', f, 2, 8, ', ,,  , N, o, n, e, ,,  , ', f, 2, 9, ', ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ]",3,89.96865203761756,11.598746081504707
molec-biol-splice__NumericFeature[f30;-2std],57,25.705329153605017,85.8934169278997,17.24137931034483,86.83385579937304,18.181818181818176,"3, 4, 21, 20, 16, 53, 33, 40, 41","[, ', f, 3, 0, ', ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , ', f, 2, 9, ', ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , ', f, 3, 0, ', ,,  , N, o, n, e, ]",0,89.18495297805643,20.53291536050157
molec-biol-splice__NumericFeature[f30;-1std],57,27.27272727272727,85.8934169278997,17.868338557993734,92.6332288401254,24.608150470219435,"4, 9, 21, 23, 20, 16, 53, 25, 33, 40, 28, 41","[, N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , ', f, 2, 1, ', ,,  , N, o, n, e, ,,  , ', f, 2, 9, ', ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , ', f, 3, 0, ', ,,  , N, o, n, e, ,,  , N, o, n, e, ]",1,84.1692789968652,16.144200626959247
molec-biol-splice__NumericFeature[f30;+1std],57,21.630094043887148,85.8934169278997,13.793103448275868,92.31974921630093,20.219435736677116,"4, 9, 18, 37, 38, 20, 16, 53, 25, 33, 40, 28, 41","[, N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , ', f, 2, 9, ', ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , ', f, 3, 0, ', ,,  , N, o, n, e, ,,  , N, o, n, e, ]",1,87.3040752351097,15.203761755485889
molec-biol-splice__NumericFeature[f30;+2std],57,21.630094043887148,85.8934169278997,14.106583072100321,89.96865203761756,18.181818181818187,"4, 9, 18, 22, 20, 16, 53, 25, 33, 40, 28, 41","[, N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , ', f, 3, 0, ', ,,  , N, o, n, e, ,,  , ', f, 2, 9, ', ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , ', f, 3, 0, ', ,,  , N, o, n, e, ,,  , N, o, n, e, ]",1,84.32601880877742,12.539184952978054
monks-1__NumericFeature[f1;-2std],51,23.636363636363633,67.56756756756756,-1.8018018018018056,67.56756756756756,-1.8018018018018056,"18, 19, 25, 27","[, N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ]",2,73.87387387387388,4.504504504504503
monks-1__NumericFeature[f1;-1std],51,30.909090909090907,67.56756756756756,-2.7027027027027084,68.46846846846847,-1.8018018018018056,"16, 14, 18, 19, 25, 27, 28","[, N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ,,  , N, o, n, e, ]",0,66.66666666666666,-3.603603603603611
