drift description,tree size,after accuracy decrease precentage,faulty node index,faulty feature,fix accuracy increase precentage
annealing__NumericFeature[f26;-1std],27,5.617977528089879,26,,-0.5586592178770999
annealing__NumericFeature[f26;-0.5std],27,3.3707865168539297,26,,-0.5586592178770999
annealing__NumericFeature[f26;+0.5std],27,1.1235955056179692,21,,-1.6759776536312887
annealing__NumericFeature[f26;+1std],27,1.1235955056179692,21,,-1.6759776536312887
annealing__NumericFeature[f26;+2std],27,1.1235955056179692,21,,-1.6759776536312887
annealing__NumericFeature[f4;-2std],27,1.1235955056179692,21,,-1.6759776536312887
annealing__NumericFeature[f4;-1std],27,1.1235955056179692,21,,-1.6759776536312887
annealing__NumericFeature[f4;-0.5std],27,1.1235955056179692,21,,-1.6759776536312887
annealing__NumericFeature[f4;+0.5std],27,75.28089887640449,23,,64.80446927374301
annealing__NumericFeature[f4;+1std],27,76.40449438202246,2,f4,70.39106145251397
annealing__NumericFeature[f4;+2std],27,77.52808988764043,2,f4,70.39106145251397
annealing__NumericFeature[f22;-2std],27,21.34831460674157,13,f8,-2.7932960893854775
annealing__NumericFeature[f22;-1std],27,21.34831460674157,13,f8,-2.7932960893854775
annealing__NumericFeature[f22;-0.5std],27,3.3707865168539297,17,,5.027932960893855
annealing__NumericFeature[f22;+0.5std],27,1.1235955056179692,21,,-1.6759776536312887
annealing__NumericFeature[f22;+1std],27,1.1235955056179692,21,,-1.6759776536312887
annealing__NumericFeature[f22;+2std],27,1.1235955056179692,21,,-1.6759776536312887
annealing__NumericFeature[f1;-2std],27,73.03370786516854,1,,64.80446927374301
annealing__NumericFeature[f1;-1std],27,71.91011235955057,1,,64.80446927374301
annealing__NumericFeature[f1;-0.5std],27,71.91011235955057,1,,56.98324022346368
annealing__NumericFeature[f1;+0.5std],27,5.617977528089879,21,,-1.6759776536312887
annealing__NumericFeature[f1;+1std],27,5.617977528089879,21,,-1.6759776536312887
annealing__NumericFeature[f1;+2std],27,5.617977528089879,21,,-1.6759776536312887
audiology-std__NumericFeature[f11;-2std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f11;-1std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f11;-0.5std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f11;+0.5std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f11;+1std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f11;+2std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f48;-2std],43,10.526315789473683,1,f15,0.0
audiology-std__NumericFeature[f48;-1std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f48;-0.5std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f48;+0.5std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f48;+1std],43,0.0,13,f57,0.0
audiology-std__NumericFeature[f48;+2std],43,21.052631578947366,1,f15,0.0
